payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,location,transtype,comment,card_reference,reasoncode,sepaprovider,invoice_hash,payment_hash,memo,stripe_currency,stripe_converted_amount,is_aed
14/10/2025,43131,43131-DDI00086,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,165.31,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD5CU72WKIOEN273N,2.0,2.0,ch_3SIAjnIdctIUMwHT0TYARoER,nan,nan,,eur,165.31,False
14/10/2025,43135,43135-DDI00051,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,183.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD7FS1CWA5F6973GH,2.0,2.0,ch_3SIAjpIdctIUMwHT16WgEDnx,nan,nan,,eur,183.27,False
14/10/2025,43230,43230-DDI00075,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,131.59,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD27YOS17LL94VOAT,2.0,2.0,ch_3SIAjsIdctIUMwHT0tz3zOhW,nan,nan,,eur,131.59,False
14/10/2025,43705,43705-DDI00046,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,172.34,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD770Y3O0732234HS,2.0,2.0,ch_3SIAjuIdctIUMwHT0dl7FbQY,nan,nan,,eur,172.34,False
14/10/2025,43915,43915-DDI00042,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,87.82,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDK4243GQ419K09Y3,2.0,2.0,ch_3SIAjwIdctIUMwHT0ok0abjq,nan,nan,,eur,87.82,False
14/10/2025,43965,43965-DDI00080,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,448.21,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDN53W0N35PU92M8F,2.0,2.0,ch_3SIAjzIdctIUMwHT0lxs68sP,nan,nan,,eur,448.21,False
14/10/2025,44134,44134-DDI00080,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,61.91,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD81LS4AVNRY3GK31,2.0,2.0,ch_3SIAk1IdctIUMwHT1wReXLBY,nan,nan,,eur,61.91,False
14/10/2025,44595,44595-DDI00083,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD49EJ194S86XTR8E,2.0,2.0,ch_3SIAk3IdctIUMwHT05e7nHte,nan,nan,,eur,119.06,False
14/10/2025,44827,44827-DDI00076,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,172.32,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDDSAD89S775VP37G,2.0,2.0,ch_3SIAk6IdctIUMwHT0lG8PuRk,nan,nan,,eur,172.32,False
14/10/2025,44968,44968-DDI00076,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,163.22,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDZA45ZF58M2B9180,2.0,2.0,ch_3SIAk8IdctIUMwHT0IQiqe5Z,nan,nan,,eur,163.22,False
14/10/2025,45378,45378-DDI00075,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,250.11,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDD14UN84Y36FAY3A,2.0,2.0,ch_3SIAkAIdctIUMwHT2IONMRNd,nan,nan,,eur,250.11,False
14/10/2025,45899,45899-DDI00051,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,202.05,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD3DR0V4A943CH0S8,2.0,2.0,ch_3SIAkDIdctIUMwHT1Ac1ocjd,nan,nan,,eur,202.05,False
14/10/2025,45902,45902-DDI00074,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,211.97,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD2P8IX844NS0058G,2.0,2.0,ch_3SIAkFIdctIUMwHT1vUOcAj1,nan,nan,,eur,211.97,False
14/10/2025,45906,45906-DDI00073,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,246.31,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD1R62V7WJ49W01K4,2.0,2.0,ch_3SIAkHIdctIUMwHT2PhBgtpx,nan,nan,,eur,246.31,False
14/10/2025,46714,46714-DDI00070,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,190.92,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD3753UXB14ASOC80,2.0,2.0,ch_3SIAkMIdctIUMwHT2pOqBEsT,nan,nan,,eur,190.92,False
14/10/2025,46738,46738-DDI00068,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,266.17,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD9W0GRV841RFB4C4,2.0,2.0,ch_3SIAkOIdctIUMwHT1WoxVQE0,nan,nan,,eur,266.17,False
14/10/2025,46945,46945-DDI00067,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,248.55,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDM0WFXC3TYKA261B,2.0,2.0,ch_3SIAkRIdctIUMwHT09fLTxFJ,nan,nan,,eur,248.55,False
14/10/2025,47074,47074-DDI00066,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,306.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDDBO1D2K18K1U0W60,2.0,2.0,ch_3SIAkTIdctIUMwHT1QisschK,nan,nan,,eur,306.27,False
14/10/2025,47911,47911-DDI00061,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,194.46,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD88TW6AE5X5H6R07,2.0,2.0,ch_3SIAkVIdctIUMwHT1fR1m92P,nan,nan,,eur,194.46,False
14/10/2025,48135,48135-DDI00068,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,205.3,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD251221VMOP24LU6,2.0,2.0,ch_3SIAkYIdctIUMwHT0079qJSw,nan,nan,,eur,205.3,False
14/10/2025,48148,48148-DDI00062,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,183.27,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD26X25Z02T5B2W0K,2.0,2.0,ch_3SIAkaIdctIUMwHT2Sw4zWnE,nan,nan,,eur,183.27,False
14/10/2025,47365,47365-DDI00064,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD7NU5BG658SXVN17,2.0,2.0,ch_3SIAkgIdctIUMwHT2ikcPGaZ,nan,nan,,eur,119.06,False
14/10/2025,47367,47367-DDI00065,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD717TI9N471CS3K4,2.0,2.0,ch_3SIAkiIdctIUMwHT0QWXNt8H,nan,nan,,eur,119.06,False
14/10/2025,47368,47368-DDI00065,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD73X5AX1Q0X15X0X,2.0,2.0,ch_3SIAklIdctIUMwHT0UuB1cR6,nan,nan,,eur,119.06,False
14/10/2025,47369,47369-DDI00064,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD3AR9RH7O1QU1GCI,2.0,2.0,ch_3SIAknIdctIUMwHT0t9NZKo8,nan,nan,,eur,119.06,False
14/10/2025,47370,47370-DDI00065,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,EUR,1.0,119.06,10010 Bank : BOI current a/c EUR # 17013705,Ireland(Rep.),CARDSUCCESS,DDCARD PAYMENT:MESDDD51Z1SB29WG75P0S,2.0,2.0,ch_3SIAkpIdctIUMwHT04f8ZX3T,nan,nan,,eur,119.06,False
